appname,datum,starttime,seconds,lat,long
Browser,2016-10-03,2016-10-03 15:28:22,145,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 15:31:19,77,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 15:32:44,17,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 15:36:11,138,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 17:18:44,18,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 17:19:20,1,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 18:01:14,14,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 18:06:02,31,52.3592183,4.9079288
App9292,2016-10-03,2016-10-03 18:08:23,91,52.3592183,4.9079288
WhatsApp,2016-10-03,2016-10-03 18:09:55,56,52.3612612,4.9073743
WhatsApp,2016-10-03,2016-10-03 18:12:34,61,52.3612612,4.9073743
WhatsApp,2016-10-03,2016-10-03 18:13:36,33,52.3612612,4.9073743
WhatsApp,2016-10-03,2016-10-03 18:14:35,86,52.3612612,4.9073743
App9292,2016-10-03,2016-10-03 18:16:02,44,52.3612612,4.9073743
NOS,2016-10-03,2016-10-03 18:16:48,113,52.3414099,4.9213842
WhatsApp,2016-10-03,2016-10-03 18:39:34,3,52.3235932,4.9359961
App9292,2016-10-03,2016-10-03 18:43:36,51,52.3392821,4.8744344
WhatsApp,2016-10-03,2016-10-03 18:45:01,161,52.3392821,4.8744344
App9292,2016-10-03,2016-10-03 18:49:10,84,52.3392821,4.8744344
App9292,2016-10-03,2016-10-03 18:52:07,7,52.3332784,4.80308
NOS,2016-10-03,2016-10-03 18:52:16,215,52.3332784,4.80308
WhatsApp,2016-10-03,2016-10-03 19:03:46,80,52.292982,4.6980588
WhatsApp,2016-10-03,2016-10-03 20:32:01,118,52.3000843,4.6859057
NUnl,2016-10-04,2016-10-04 08:15:06,135,52.2956059,4.6696
WhatsApp,2016-10-04,2016-10-04 08:19:18,30,52.2956059,4.6696
WhatsApp,2016-10-04,2016-10-04 09:01:21,15,52.2956059,4.6696
WhatsApp,2016-10-04,2016-10-04 10:45:24,31,52.2956059,4.6696
App9292,2016-10-04,2016-10-04 11:11:27,84,52.2923905,4.7014138
App9292,2016-10-04,2016-10-04 11:12:52,1,52.2923905,4.7014138
WhatsApp,2016-10-04,2016-10-04 11:19:43,136,52.3100317,4.7629093
App9292,2016-10-04,2016-10-04 11:22:09,161,52.3100317,4.7629093
WhatsApp,2016-10-04,2016-10-04 11:24:57,130,52.3056563,4.7610799
App9292,2016-10-04,2016-10-04 11:27:07,28,52.3056563,4.7610799
WhatsApp,2016-10-04,2016-10-04 11:30:17,32,52.3190762,4.7612179
WhatsApp,2016-10-04,2016-10-04 11:39:00,68,52.318468,4.8067142
App9292,2016-10-04,2016-10-04 11:40:15,142,52.318468,4.8067142
Browser,2016-10-04,2016-10-04 11:42:47,186,52.318468,4.8067142
WhatsApp,2016-10-04,2016-10-04 11:55:59,29,52.3389357,4.8733906
WhatsApp,2016-10-04,2016-10-04 11:58:35,25,52.3389357,4.8733906
WhatsApp,2016-10-04,2016-10-04 12:03:12,168,52.3385696,4.8773304
WhatsApp,2016-10-04,2016-10-04 12:08:36,81,52.3385696,4.8773304
WhatsApp,2016-10-04,2016-10-04 12:16:46,16,52.35208,4.9133224
WhatsApp,2016-10-04,2016-10-04 12:17:35,11,52.35208,4.9133224
Browser,2016-10-04,2016-10-04 13:18:19,14,52.3592183,4.9079288
App9292,2016-10-04,2016-10-04 14:59:30,4,52.3590519,4.9080238
WhatsApp,2016-10-04,2016-10-04 14:59:35,34,52.3590519,4.9080238
Slack,2016-10-04,2016-10-04 17:32:25,54,52.3590519,4.9080238
App9292,2016-10-04,2016-10-04 18:01:14,27,52.3590519,4.9080238
Browser,2016-10-04,2016-10-04 18:01:43,114,52.3590519,4.9080238
WhatsApp,2016-10-04,2016-10-04 21:32:43,139,52.2875546,4.7224609
WhatsApp,2016-10-04,2016-10-04 21:35:18,802,52.2875546,4.7224609
WhatsApp,2016-10-04,2016-10-04 21:51:36,37,52.2875546,4.7224609
WhatsApp,2016-10-04,2016-10-04 22:25:18,16,52.2875546,4.7224609
WhatsApp,2016-10-05,2016-10-05 12:18:39,35,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:21:36,134,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:32:20,58,52.2956059,4.6696
App9292,2016-10-05,2016-10-05 12:33:20,29,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:33:49,75,52.2956059,4.6696
App9292,2016-10-05,2016-10-05 12:35:04,1,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:37:18,8,52.2956059,4.6696
Browser,2016-10-05,2016-10-05 12:37:28,73,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:38:41,13,52.2956059,4.6696
Browser,2016-10-05,2016-10-05 12:38:53,4,52.2956059,4.6696
NOS,2016-10-05,2016-10-05 12:39:00,201,52.2956059,4.6696
WhatsApp,2016-10-05,2016-10-05 12:49:17,32,52.2956059,4.6696
NUnl,2016-10-05,2016-10-05 12:49:50,148,52.2923905,4.7014138
WhatsApp,2016-10-05,2016-10-05 13:06:28,79,52.3350969,4.8075357
Browser,2016-10-05,2016-10-05 13:13:28,174,52.3316738,4.8015595
App9292,2016-10-05,2016-10-05 13:17:06,102,52.3456096,4.8348596
WhatsApp,2016-10-05,2016-10-05 13:22:52,13,52.3805065,4.9002075
WhatsApp,2016-10-05,2016-10-05 13:24:34,98,52.3805065,4.9002075
WhatsApp,2016-10-05,2016-10-05 13:28:40,39,52.3784179,4.9004056
WhatsApp,2016-10-05,2016-10-05 13:34:01,133,52.3820024,4.9039358
Slack,2016-10-05,2016-10-05 13:43:29,37,52.3900193,4.9062053
Browser,2016-10-05,2016-10-05 13:56:29,300,52.3900193,4.9062053
Chrome,2016-10-05,2016-10-05 14:02:35,63,52.3904008,4.9056573
Instellingen,2016-10-05,2016-10-05 14:03:42,63,52.3904008,4.9056573
Chrome,2016-10-05,2016-10-05 14:05:29,14,52.3904008,4.9056573
Instellingen,2016-10-05,2016-10-05 14:05:44,73,52.3904008,4.9056573
Chrome,2016-10-05,2016-10-05 14:09:39,156,52.3904008,4.9056573
Browser,2016-10-05,2016-10-05 14:12:19,2547,52.3904008,4.9056573
App9292,2016-10-05,2016-10-05 17:49:41,28,52.3904008,4.9056573
WhatsApp,2016-10-05,2016-10-05 18:20:16,72,52.3791399,4.89908
WhatsApp,2016-10-05,2016-10-05 18:22:58,87,52.3791399,4.89908
NOS,2016-10-05,2016-10-05 18:24:27,180,52.3791399,4.89908
NUnl,2016-10-05,2016-10-05 18:27:28,105,52.3761641,4.9034839
Browser,2016-10-05,2016-10-05 18:29:21,342,52.3761641,4.9034839
WhatsApp,2016-10-05,2016-10-05 18:51:51,329,52.3007418,4.7424705
WhatsApp,2016-10-05,2016-10-05 19:02:39,36,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 19:06:18,12,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 19:07:39,4,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 22:10:59,31,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 22:12:22,13,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 22:13:02,70,52.2775631,4.7141551
WhatsApp,2016-10-05,2016-10-05 22:14:29,212,52.2775631,4.7141551
Slack,2016-10-06,2016-10-06 09:55:29,239,52.296,4.6700928
Slack,2016-10-06,2016-10-06 10:08:49,142,52.296,4.6700928
WhatsApp,2016-10-06,2016-10-06 10:11:36,31,52.296,4.6700928
WhatsApp,2016-10-06,2016-10-06 10:19:30,61,52.296,4.6700928
Browser,2016-10-06,2016-10-06 10:28:20,71,52.296,4.6700928
WhatsApp,2016-10-06,2016-10-06 10:30:26,108,52.296,4.6700928
WhatsApp,2016-10-06,2016-10-06 10:35:30,4,52.296,4.6700928
App9292,2016-10-06,2016-10-06 10:39:11,71,52.296,4.6700928
WhatsApp,2016-10-06,2016-10-06 10:53:52,2,52.2875546,4.7224609
NOS,2016-10-06,2016-10-06 10:53:55,426,52.2875546,4.7224609
NUnl,2016-10-06,2016-10-06 11:01:04,89,52.3350969,4.8075357
App9292,2016-10-06,2016-10-06 11:02:35,144,52.3350969,4.8075357
WhatsApp,2016-10-06,2016-10-06 11:05:04,68,52.3389357,4.8733906
App9292,2016-10-06,2016-10-06 11:06:15,85,52.3389357,4.8733906
WhatsApp,2016-10-06,2016-10-06 11:16:30,4,52.321245,4.9173813
App9292,2016-10-06,2016-10-06 11:16:38,147,52.321245,4.9173813
WhatsApp,2016-10-06,2016-10-06 11:23:33,106,52.3269814,4.9316747
WhatsApp,2016-10-06,2016-10-06 11:39:50,9,52.3599415,4.9096865
WhatsApp,2016-10-06,2016-10-06 12:50:44,11,52.3590519,4.9080238
App9292,2016-10-06,2016-10-06 17:33:20,37,52.3590519,4.9080238
App9292,2016-10-06,2016-10-06 17:43:46,28,52.3590519,4.9080238
App9292,2016-10-06,2016-10-06 17:56:32,28,52.3590519,4.9080238
App9292,2016-10-06,2016-10-06 17:57:11,9,52.3590519,4.9080238
WhatsApp,2016-10-06,2016-10-06 19:41:16,289,52.2979632,4.6787909
WhatsApp,2016-10-07,2016-10-07 10:38:10,216,52.3012403,4.6484286
WhatsApp,2016-10-07,2016-10-07 10:42:54,19,52.3012403,4.6484286
WhatsApp,2016-10-07,2016-10-07 10:44:18,8,52.3012403,4.6484286
WhatsApp,2016-10-07,2016-10-07 10:44:37,5,52.3012403,4.6484286
Slack,2016-10-07,2016-10-07 10:44:44,85,52.3012403,4.6484286
WhatsApp,2016-10-07,2016-10-07 11:13:17,20,52.3012403,4.6484286
WhatsApp,2016-10-07,2016-10-07 20:57:42,122,52.2956341,4.6688331
WhatsApp,2016-10-07,2016-10-07 22:41:33,21,52.2956341,4.6688331
WhatsApp,2016-10-07,2016-10-07 22:53:32,20,52.2956341,4.6688331
WhatsApp,2016-10-08,2016-10-08 17:47:06,61,52.2956341,4.6688331
WhatsApp,2016-10-08,2016-10-08 17:48:40,84,52.2956341,4.6688331
WhatsApp,2016-10-08,2016-10-08 23:26:22,980,52.2956341,4.6688331
WhatsApp,2016-10-08,2016-10-08 23:47:47,146,52.2956341,4.6688331
WhatsApp,2016-10-09,2016-10-09 07:29:02,139,52.2961691,4.6701
Dropbox,2016-10-09,2016-10-09 19:25:05,1,52.2951843,4.6710742
Dropbox,2016-10-09,2016-10-09 19:25:10,17,52.2951843,4.6710742
